province_name,region,group_code,group_name,tong_sl,tong_dt,so_don,so_dai_ly
Quảng Trị,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,9.0,8034069.0,1,1
Quảng Trị,Miền Trung,SPORTBIKE_S,Xe thể thao thép,1.0,2716111.0,1,1
Sơn La,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,41.0,45350000.0,2,2
Sơn La,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,2.0,4300000.0,1,1
Sơn La,Miền Bắc,CITYBIKE_P,Xe phổ thông,2.0,2540000.0,1,1
Sầm Sơn,Miền Bắc,CITYBIKE_P,Xe phổ thông,26.0,42623881.0,2,1
Sầm Sơn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,14.0,17557680.0,1,1
Sầm Sơn,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,14.0,12908877.0,1,1
TP Huế,Miền Bắc,CITYBIKE_P,Xe phổ thông,14.0,22709993.0,1,1
TP Huế,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,8.0,10385459.0,2,1
TP Huế,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,6.0,5663328.0,1,1
TP Hưng Yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,14.0,16470000.0,1,1
TP Hưng Yên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,3.0,5158500.0,1,1
TP Hưng Yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,4.0,4200000.0,1,1
TP Hưng Yên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,1.0,2150000.0,1,1
TP Hải Dương,Miền Bắc,CITYBIKE_P,Xe phổ thông,20.0,24000000.0,1,1
TP Hải Phòng,Miền Bắc,CITYBIKE_P,Xe phổ thông,418.0,665420603.0,28,13
TP Hải Phòng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,73.0,92176449.0,17,10
TP Hải Phòng,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,41.0,33892751.0,8,6
TP Hải Phòng,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,11.0,23224440.0,4,4
TP Hải Phòng,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,3.0,7522643.0,1,1
TP Đà Nẵng,Miền Bắc,CITYBIKE_P,Xe phổ thông,44.0,72961105.0,6,4
TP Đà Nẵng,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,4.0,7031481.0,2,2
TP Đà Nẵng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,6.0,6300000.0,2,1
TP. Hồ Chí Minh,Miền Nam,CITYBIKE_P,Xe phổ thông,724.0,1406842982.0,92,3
TP. Hồ Chí Minh,Miền Nam,KIDBIKE_2,Xe trẻ em nhóm 2,618.0,691010865.0,74,2
TP. Hồ Chí Minh,Miền Nam,KIDBIKE_1,Xe trẻ em nhóm 1,338.0,563939432.0,64,2
TP. Hồ Chí Minh,Miền Nam,SPORTBIKE_S,Xe thể thao thép,169.0,434740469.0,32,2
TP. Hồ Chí Minh,Miền Nam,SPORTBIKE_A,Xe thể thao nhôm,42.0,146428334.0,2,1
TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,CITYBIKE_P,Xe phổ thông,20.0,23350000.0,1,1
Tam Kỳ,Miền Bắc,CITYBIKE_P,Xe phổ thông,37.0,55725542.0,2,1
Tam Kỳ,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,19.0,21300000.0,1,1
Thanh Hoá,Miền Trung,CITYBIKE_P,Xe phổ thông,707.0,916274571.0,36,18
Thanh Hoá,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,95.0,110536197.0,15,9
Thanh Hoá,Miền Trung,SPORTBIKE_S,Xe thể thao thép,38.0,56122500.0,9,9
Thanh Hoá,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,76.0,51379421.0,10,6
Thanh Hoá,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,2.0,6445286.0,1,1
Thanh Hóa,Miền Trung,CITYBIKE_P,Xe phổ thông,1486.0,2243737264.0,61,31
Thanh Hóa,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,189.0,239560773.0,26,18
Thanh Hóa,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,31.0,94596761.0,7,6
Thanh Hóa,Miền Trung,SPORTBIKE_S,Xe thể thao thép,32.0,63458969.0,9,7
Thanh Hóa,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,68.0,58420426.0,12,10
